Epoch: [0][0/97], lr: 0.00200	Time 4.160 (4.160)	Data 0.538 (0.538)	Loss 6.2761 (6.2761)	Prec@1 2.344 (2.344)	Prec@5 35.156 (35.156)
Epoch: [0][10/97], lr: 0.00200	Time 0.275 (0.620)	Data 0.000 (0.049)	Loss 2.0600 (2.8127)	Prec@1 35.156 (31.392)	Prec@5 90.625 (82.031)
Epoch: [0][20/97], lr: 0.00200	Time 0.279 (0.459)	Data 0.000 (0.033)	Loss 1.7687 (2.4285)	Prec@1 46.094 (38.802)	Prec@5 90.625 (86.570)
Epoch: [0][30/97], lr: 0.00200	Time 0.282 (0.402)	Data 0.000 (0.028)	Loss 1.5034 (2.2222)	Prec@1 51.562 (42.314)	Prec@5 92.188 (88.256)
Epoch: [0][40/97], lr: 0.00200	Time 0.294 (0.373)	Data 0.000 (0.025)	Loss 1.1810 (2.0436)	Prec@1 58.594 (44.512)	Prec@5 96.875 (89.367)
Epoch: [0][50/97], lr: 0.00200	Time 0.279 (0.355)	Data 0.000 (0.023)	Loss 1.4535 (1.9156)	Prec@1 51.562 (46.262)	Prec@5 96.094 (90.242)
Epoch: [0][60/97], lr: 0.00200	Time 0.277 (0.343)	Data 0.000 (0.021)	Loss 1.1465 (1.8220)	Prec@1 60.156 (47.848)	Prec@5 96.094 (90.945)
Epoch: [0][70/97], lr: 0.00200	Time 0.282 (0.334)	Data 0.000 (0.021)	Loss 1.4067 (1.7466)	Prec@1 55.469 (49.120)	Prec@5 95.312 (91.527)
Epoch: [0][80/97], lr: 0.00200	Time 0.283 (0.328)	Data 0.002 (0.020)	Loss 1.5002 (1.6889)	Prec@1 44.531 (50.087)	Prec@5 92.969 (91.956)
Epoch: [0][90/97], lr: 0.00200	Time 0.275 (0.323)	Data 0.000 (0.020)	Loss 1.5684 (1.6441)	Prec@1 49.219 (50.678)	Prec@5 91.406 (92.162)
Epoch: [1][0/97], lr: 0.00400	Time 2.092 (2.092)	Data 1.369 (1.369)	Loss 1.0312 (1.0312)	Prec@1 65.625 (65.625)	Prec@5 96.094 (96.094)
Epoch: [1][10/97], lr: 0.00400	Time 0.288 (0.474)	Data 0.001 (0.128)	Loss 1.1895 (1.2766)	Prec@1 59.375 (56.605)	Prec@5 92.969 (93.395)
Epoch: [1][20/97], lr: 0.00400	Time 0.295 (0.391)	Data 0.001 (0.072)	Loss 1.2300 (1.2433)	Prec@1 57.031 (57.812)	Prec@5 93.750 (94.085)
Epoch: [1][30/97], lr: 0.00400	Time 0.283 (0.364)	Data 0.001 (0.052)	Loss 1.1486 (1.2086)	Prec@1 62.500 (58.619)	Prec@5 96.875 (94.556)
Epoch: [1][40/97], lr: 0.00400	Time 0.282 (0.348)	Data 0.001 (0.042)	Loss 0.9927 (1.1920)	Prec@1 66.406 (58.994)	Prec@5 98.438 (94.760)
Epoch: [1][50/97], lr: 0.00400	Time 0.312 (0.340)	Data 0.001 (0.036)	Loss 1.1534 (1.1749)	Prec@1 61.719 (59.252)	Prec@5 92.969 (94.822)
Epoch: [1][60/97], lr: 0.00400	Time 0.299 (0.334)	Data 0.007 (0.032)	Loss 1.1238 (1.1763)	Prec@1 61.719 (59.247)	Prec@5 94.531 (94.608)
Epoch: [1][70/97], lr: 0.00400	Time 0.266 (0.329)	Data 0.001 (0.029)	Loss 1.1800 (1.1777)	Prec@1 56.250 (59.287)	Prec@5 96.094 (94.740)
Epoch: [1][80/97], lr: 0.00400	Time 0.286 (0.325)	Data 0.006 (0.027)	Loss 0.9349 (1.1765)	Prec@1 65.625 (59.452)	Prec@5 96.094 (94.772)
Epoch: [1][90/97], lr: 0.00400	Time 0.259 (0.321)	Data 0.000 (0.025)	Loss 1.1288 (1.1722)	Prec@1 62.500 (59.779)	Prec@5 96.875 (94.840)
Epoch: [2][0/97], lr: 0.00600	Time 2.290 (2.290)	Data 1.684 (1.684)	Loss 1.0265 (1.0265)	Prec@1 65.625 (65.625)	Prec@5 96.094 (96.094)
Epoch: [2][10/97], lr: 0.00600	Time 0.290 (0.477)	Data 0.001 (0.156)	Loss 1.1268 (1.0943)	Prec@1 61.719 (61.932)	Prec@5 96.094 (96.236)
Epoch: [2][20/97], lr: 0.00600	Time 0.286 (0.393)	Data 0.001 (0.087)	Loss 1.2581 (1.0993)	Prec@1 59.375 (62.426)	Prec@5 95.312 (95.499)
Epoch: [2][30/97], lr: 0.00600	Time 0.285 (0.361)	Data 0.002 (0.062)	Loss 1.1805 (1.1209)	Prec@1 64.062 (62.349)	Prec@5 97.656 (95.363)
Epoch: [2][40/97], lr: 0.00600	Time 0.262 (0.345)	Data 0.007 (0.050)	Loss 0.9132 (1.1041)	Prec@1 68.750 (62.576)	Prec@5 96.094 (95.446)
Epoch: [2][50/97], lr: 0.00600	Time 0.267 (0.336)	Data 0.001 (0.042)	Loss 0.8834 (1.1101)	Prec@1 71.094 (62.132)	Prec@5 97.656 (95.297)
Epoch: [2][60/97], lr: 0.00600	Time 0.295 (0.330)	Data 0.001 (0.037)	Loss 1.0917 (1.1151)	Prec@1 61.719 (62.039)	Prec@5 96.094 (95.364)
Epoch: [2][70/97], lr: 0.00600	Time 0.337 (0.327)	Data 0.031 (0.034)	Loss 0.9602 (1.1224)	Prec@1 67.969 (61.840)	Prec@5 97.656 (95.312)
Epoch: [2][80/97], lr: 0.00600	Time 0.280 (0.322)	Data 0.003 (0.031)	Loss 1.1178 (1.1192)	Prec@1 64.062 (61.786)	Prec@5 92.188 (95.293)
Epoch: [2][90/97], lr: 0.00600	Time 0.278 (0.318)	Data 0.000 (0.029)	Loss 1.3524 (1.1211)	Prec@1 56.250 (62.011)	Prec@5 93.750 (95.184)
Epoch: [3][0/97], lr: 0.00800	Time 1.693 (1.693)	Data 1.141 (1.141)	Loss 0.9677 (0.9677)	Prec@1 65.625 (65.625)	Prec@5 97.656 (97.656)
Epoch: [3][10/97], lr: 0.00800	Time 0.283 (0.408)	Data 0.001 (0.105)	Loss 1.0302 (1.0494)	Prec@1 65.625 (63.636)	Prec@5 97.656 (96.307)
Epoch: [3][20/97], lr: 0.00800	Time 0.296 (0.350)	Data 0.001 (0.061)	Loss 1.1675 (1.0350)	Prec@1 60.938 (64.397)	Prec@5 93.750 (96.057)
Epoch: [3][30/97], lr: 0.00800	Time 0.308 (0.333)	Data 0.001 (0.046)	Loss 1.0034 (1.0358)	Prec@1 63.281 (64.592)	Prec@5 96.875 (95.766)
Epoch: [3][40/97], lr: 0.00800	Time 0.264 (0.329)	Data 0.001 (0.037)	Loss 1.0522 (1.0456)	Prec@1 63.281 (64.310)	Prec@5 94.531 (95.789)
Epoch: [3][50/97], lr: 0.00800	Time 0.288 (0.320)	Data 0.000 (0.032)	Loss 0.9276 (1.0340)	Prec@1 71.875 (64.828)	Prec@5 96.094 (95.833)
Epoch: [3][60/97], lr: 0.00800	Time 0.285 (0.315)	Data 0.001 (0.029)	Loss 1.2082 (1.0443)	Prec@1 58.594 (64.472)	Prec@5 89.062 (95.697)
Epoch: [3][70/97], lr: 0.00800	Time 0.296 (0.311)	Data 0.000 (0.027)	Loss 0.9556 (1.0429)	Prec@1 67.188 (64.459)	Prec@5 97.656 (95.786)
