Epoch: [0][0/97], lr: 0.00200	Time 3.627 (3.627)	Data 0.257 (0.257)	Loss 12.6219 (12.6219)	Prec@1 3.125 (3.125)	Prec@5 32.031 (32.031)
Epoch: [0][10/97], lr: 0.00200	Time 0.404 (0.627)	Data 0.000 (0.024)	Loss 6.3722 (8.7682)	Prec@1 58.594 (38.849)	Prec@5 92.969 (83.736)
Epoch: [0][20/97], lr: 0.00200	Time 0.325 (0.495)	Data 0.000 (0.019)	Loss 6.4586 (8.2559)	Prec@1 54.688 (42.894)	Prec@5 89.062 (85.491)
Epoch: [0][30/97], lr: 0.00200	Time 0.328 (0.447)	Data 0.000 (0.019)	Loss 6.6965 (7.8066)	Prec@1 50.781 (45.842)	Prec@5 80.469 (86.366)
Epoch: [0][40/97], lr: 0.00200	Time 0.345 (0.421)	Data 0.000 (0.018)	Loss 5.9817 (7.4725)	Prec@1 51.562 (47.828)	Prec@5 95.312 (87.938)
Epoch: [0][50/97], lr: 0.00200	Time 0.328 (0.404)	Data 0.000 (0.017)	Loss 5.6708 (7.1690)	Prec@1 57.812 (49.586)	Prec@5 92.188 (89.093)
Epoch: [0][60/97], lr: 0.00200	Time 0.344 (0.392)	Data 0.000 (0.017)	Loss 5.5247 (6.9520)	Prec@1 59.375 (50.512)	Prec@5 91.406 (89.895)
Epoch: [0][70/97], lr: 0.00200	Time 0.329 (0.385)	Data 0.000 (0.017)	Loss 6.0580 (6.8508)	Prec@1 53.125 (51.089)	Prec@5 95.312 (90.174)
Epoch: [0][80/97], lr: 0.00200	Time 0.331 (0.380)	Data 0.000 (0.017)	Loss 5.2224 (6.6671)	Prec@1 64.062 (52.315)	Prec@5 94.531 (90.664)
Epoch: [0][90/97], lr: 0.00200	Time 0.342 (0.380)	Data 0.000 (0.017)	Loss 5.7315 (6.5205)	Prec@1 60.938 (53.262)	Prec@5 92.969 (90.908)
Epoch: [0][96/97], lr: 0.00200	Time 0.920 (0.383)	Data 0.000 (0.018)	Loss 5.3696 (6.4340)	Prec@1 55.932 (53.813)	Prec@5 97.458 (91.133)
Epoch: [1][0/97], lr: 0.00400	Time 0.785 (0.785)	Data 0.489 (0.489)	Loss 4.7669 (4.7669)	Prec@1 64.062 (64.062)	Prec@5 93.750 (93.750)
Epoch: [1][10/97], lr: 0.00400	Time 0.342 (0.418)	Data 0.000 (0.058)	Loss 6.5995 (5.6699)	Prec@1 52.344 (59.233)	Prec@5 92.188 (92.685)
Epoch: [1][20/97], lr: 0.00400	Time 0.340 (0.382)	Data 0.000 (0.038)	Loss 6.4424 (5.7166)	Prec@1 51.562 (58.445)	Prec@5 87.500 (91.518)
Epoch: [1][30/97], lr: 0.00400	Time 0.336 (0.371)	Data 0.001 (0.031)	Loss 5.0221 (5.6235)	Prec@1 60.156 (58.695)	Prec@5 95.312 (91.507)
Epoch: [1][40/97], lr: 0.00400	Time 0.343 (0.364)	Data 0.000 (0.027)	Loss 4.9693 (5.5269)	Prec@1 64.844 (59.623)	Prec@5 97.656 (92.130)
Epoch: [1][50/97], lr: 0.00400	Time 0.331 (0.359)	Data 0.000 (0.025)	Loss 5.0935 (5.4279)	Prec@1 59.375 (60.049)	Prec@5 97.656 (92.570)
Epoch: [1][60/97], lr: 0.00400	Time 0.326 (0.355)	Data 0.000 (0.024)	Loss 5.6379 (5.3715)	Prec@1 54.688 (60.323)	Prec@5 95.312 (92.930)
Epoch: [1][70/97], lr: 0.00400	Time 0.333 (0.352)	Data 0.000 (0.023)	Loss 6.0755 (5.3586)	Prec@1 56.250 (60.354)	Prec@5 92.969 (93.145)
Epoch: [1][80/97], lr: 0.00400	Time 0.329 (0.350)	Data 0.000 (0.022)	Loss 5.2543 (5.3363)	Prec@1 59.375 (60.378)	Prec@5 93.750 (93.084)
Epoch: [1][90/97], lr: 0.00400	Time 0.324 (0.348)	Data 0.000 (0.022)	Loss 5.8283 (5.3095)	Prec@1 57.812 (60.706)	Prec@5 89.844 (93.149)
Epoch: [1][96/97], lr: 0.00400	Time 0.318 (0.347)	Data 0.000 (0.022)	Loss 5.3090 (5.2836)	Prec@1 60.169 (61.011)	Prec@5 95.763 (93.310)
Epoch: [2][0/97], lr: 0.00600	Time 0.656 (0.656)	Data 0.357 (0.357)	Loss 5.3526 (5.3526)	Prec@1 60.938 (60.938)	Prec@5 96.875 (96.875)
Epoch: [2][10/97], lr: 0.00600	Time 0.359 (0.394)	Data 0.000 (0.046)	Loss 5.0015 (5.3279)	Prec@1 64.062 (59.943)	Prec@5 95.312 (94.389)
Epoch: [2][20/97], lr: 0.00600	Time 0.354 (0.373)	Data 0.000 (0.032)	Loss 5.2376 (5.3139)	Prec@1 61.719 (60.007)	Prec@5 93.750 (93.973)
Epoch: [2][30/97], lr: 0.00600	Time 0.341 (0.366)	Data 0.000 (0.027)	Loss 5.1369 (5.2756)	Prec@1 60.156 (60.837)	Prec@5 96.094 (94.103)
Epoch: [2][40/97], lr: 0.00600	Time 0.333 (0.359)	Data 0.000 (0.024)	Loss 4.8168 (5.2260)	Prec@1 64.062 (61.300)	Prec@5 96.094 (93.731)
Epoch: [2][50/97], lr: 0.00600	Time 0.331 (0.356)	Data 0.000 (0.023)	Loss 5.8397 (5.2295)	Prec@1 54.688 (61.382)	Prec@5 89.844 (93.704)
Epoch: [2][60/97], lr: 0.00600	Time 0.336 (0.354)	Data 0.000 (0.022)	Loss 5.1552 (5.1999)	Prec@1 63.281 (61.757)	Prec@5 93.750 (93.724)
Epoch: [2][70/97], lr: 0.00600	Time 0.359 (0.352)	Data 0.000 (0.021)	Loss 5.3562 (5.1221)	Prec@1 63.281 (62.357)	Prec@5 94.531 (93.882)
Epoch: [2][80/97], lr: 0.00600	Time 0.339 (0.351)	Data 0.000 (0.020)	Loss 4.7423 (5.0898)	Prec@1 64.844 (62.683)	Prec@5 97.656 (93.981)
Epoch: [2][90/97], lr: 0.00600	Time 0.334 (0.350)	Data 0.000 (0.020)	Loss 4.3180 (5.0939)	Prec@1 62.500 (62.569)	Prec@5 96.875 (93.939)
Epoch: [2][96/97], lr: 0.00600	Time 0.337 (0.350)	Data 0.000 (0.020)	Loss 6.1261 (5.1010)	Prec@1 52.542 (62.583)	Prec@5 92.373 (93.890)
Epoch: [3][0/97], lr: 0.00800	Time 0.776 (0.776)	Data 0.464 (0.464)	Loss 5.0449 (5.0449)	Prec@1 64.062 (64.062)	Prec@5 92.969 (92.969)
Epoch: [3][10/97], lr: 0.00800	Time 0.346 (0.439)	Data 0.000 (0.056)	Loss 4.9034 (4.9449)	Prec@1 62.500 (63.920)	Prec@5 90.625 (92.898)
Epoch: [3][20/97], lr: 0.00800	Time 0.349 (0.402)	Data 0.000 (0.037)	Loss 5.4014 (4.9552)	Prec@1 58.594 (63.802)	Prec@5 94.531 (93.899)
Epoch: [3][30/97], lr: 0.00800	Time 0.344 (0.386)	Data 0.000 (0.030)	Loss 5.3827 (4.9961)	Prec@1 60.156 (63.684)	Prec@5 92.969 (93.901)
Epoch: [3][40/97], lr: 0.00800	Time 0.331 (0.377)	Data 0.000 (0.027)	Loss 4.8677 (4.9869)	Prec@1 64.062 (63.586)	Prec@5 95.312 (94.093)
Epoch: [3][50/97], lr: 0.00800	Time 0.337 (0.370)	Data 0.000 (0.025)	Loss 4.8889 (4.9695)	Prec@1 64.062 (63.725)	Prec@5 94.531 (93.964)
Epoch: [3][60/97], lr: 0.00800	Time 0.342 (0.365)	Data 0.000 (0.023)	Loss 5.0093 (4.9406)	Prec@1 64.062 (64.037)	Prec@5 95.312 (94.134)
Epoch: [3][70/97], lr: 0.00800	Time 0.351 (0.363)	Data 0.000 (0.022)	Loss 4.3328 (4.9272)	Prec@1 70.312 (64.272)	Prec@5 94.531 (94.102)
Epoch: [3][80/97], lr: 0.00800	Time 0.340 (0.361)	Data 0.000 (0.022)	Loss 3.9255 (4.8822)	Prec@1 75.000 (64.670)	Prec@5 100.000 (94.290)
Epoch: [3][90/97], lr: 0.00800	Time 0.327 (0.358)	Data 0.000 (0.021)	Loss 4.0143 (4.8420)	Prec@1 71.094 (65.007)	Prec@5 95.312 (94.420)
Epoch: [3][96/97], lr: 0.00800	Time 0.326 (0.357)	Data 0.000 (0.021)	Loss 5.4470 (4.8529)	Prec@1 61.864 (64.977)	Prec@5 92.373 (94.478)
