Epoch: [0][0/97], lr: 0.00200	Time 6.609 (6.609)	Data 1.090 (1.090)	Loss 11.6021 (11.6021)	Prec@1 4.688 (4.688)	Prec@5 46.875 (46.875)
Epoch: [0][10/97], lr: 0.00200	Time 0.273 (0.852)	Data 0.000 (0.100)	Loss 6.0868 (8.3937)	Prec@1 53.125 (40.767)	Prec@5 96.875 (85.298)
Epoch: [0][20/97], lr: 0.00200	Time 0.295 (0.584)	Data 0.000 (0.059)	Loss 6.6881 (7.8921)	Prec@1 53.906 (43.973)	Prec@5 92.969 (87.686)
Epoch: [0][30/97], lr: 0.00200	Time 0.273 (0.489)	Data 0.001 (0.045)	Loss 6.6107 (7.4534)	Prec@1 53.906 (47.379)	Prec@5 92.188 (89.113)
Epoch: [0][40/97], lr: 0.00200	Time 0.282 (0.438)	Data 0.000 (0.038)	Loss 6.4402 (7.1718)	Prec@1 53.906 (49.143)	Prec@5 92.188 (89.748)
Epoch: [0][50/97], lr: 0.00200	Time 0.278 (0.408)	Data 0.000 (0.033)	Loss 5.6249 (6.9106)	Prec@1 55.469 (50.613)	Prec@5 93.750 (90.135)
Epoch: [0][60/97], lr: 0.00200	Time 0.287 (0.387)	Data 0.001 (0.031)	Loss 6.1065 (6.7542)	Prec@1 57.031 (51.153)	Prec@5 92.188 (90.279)
Epoch: [0][70/97], lr: 0.00200	Time 0.280 (0.373)	Data 0.000 (0.029)	Loss 4.6333 (6.5666)	Prec@1 65.625 (52.300)	Prec@5 92.969 (90.559)
Epoch: [0][80/97], lr: 0.00200	Time 0.276 (0.361)	Data 0.004 (0.027)	Loss 6.0563 (6.4430)	Prec@1 57.812 (53.038)	Prec@5 91.406 (91.078)
Epoch: [0][90/97], lr: 0.00200	Time 0.276 (0.353)	Data 0.000 (0.026)	Loss 6.4548 (6.3297)	Prec@1 55.469 (53.932)	Prec@5 88.281 (91.312)
Epoch: [0][96/97], lr: 0.00200	Time 0.864 (0.354)	Data 0.000 (0.026)	Loss 4.8406 (6.2853)	Prec@1 61.017 (54.192)	Prec@5 93.220 (91.432)
