Epoch: [0][0/97], lr: 0.00200	Time 2.203 (2.203)	Data 0.163 (0.163)	Loss 12.3502 (12.3502)	Prec@1 12.500 (12.500)	Prec@5 18.750 (18.750)
Epoch: [0][10/97], lr: 0.00200	Time 0.313 (0.461)	Data 0.000 (0.015)	Loss 7.5919 (8.7141)	Prec@1 47.656 (39.773)	Prec@5 86.719 (82.315)
Epoch: [0][20/97], lr: 0.00200	Time 0.308 (0.390)	Data 0.000 (0.015)	Loss 6.9558 (8.0534)	Prec@1 41.406 (41.518)	Prec@5 91.406 (84.673)
Epoch: [0][30/97], lr: 0.00200	Time 0.302 (0.362)	Data 0.000 (0.016)	Loss 6.0736 (7.4949)	Prec@1 54.688 (44.430)	Prec@5 90.625 (86.190)
Epoch: [0][40/97], lr: 0.00200	Time 0.313 (0.349)	Data 0.000 (0.016)	Loss 6.4598 (7.1422)	Prec@1 50.781 (46.513)	Prec@5 94.531 (87.100)
Epoch: [0][50/97], lr: 0.00200	Time 0.318 (0.341)	Data 0.000 (0.016)	Loss 5.5058 (6.8738)	Prec@1 60.938 (48.208)	Prec@5 93.750 (88.128)
Epoch: [0][60/97], lr: 0.00200	Time 0.315 (0.338)	Data 0.000 (0.016)	Loss 5.0531 (6.6882)	Prec@1 63.281 (49.616)	Prec@5 93.750 (88.973)
Epoch: [0][70/97], lr: 0.00200	Time 0.310 (0.334)	Data 0.000 (0.016)	Loss 6.5841 (6.5150)	Prec@1 47.656 (50.803)	Prec@5 91.406 (89.646)
Epoch: [0][80/97], lr: 0.00200	Time 0.301 (0.331)	Data 0.000 (0.016)	Loss 4.8578 (6.4364)	Prec@1 64.062 (51.591)	Prec@5 96.094 (90.037)
Epoch: [0][90/97], lr: 0.00200	Time 0.300 (0.328)	Data 0.000 (0.016)	Loss 5.7059 (6.3308)	Prec@1 58.594 (52.412)	Prec@5 96.094 (90.428)
Epoch: [0][96/97], lr: 0.00200	Time 0.862 (0.332)	Data 0.000 (0.017)	Loss 4.6113 (6.2501)	Prec@1 67.797 (52.966)	Prec@5 94.915 (90.730)
Epoch: [1][0/97], lr: 0.00400	Time 0.480 (0.480)	Data 0.299 (0.299)	Loss 5.6121 (5.6121)	Prec@1 59.375 (59.375)	Prec@5 92.188 (92.188)
Epoch: [1][10/97], lr: 0.00400	Time 0.311 (0.328)	Data 0.000 (0.041)	Loss 6.2492 (5.6556)	Prec@1 52.344 (57.386)	Prec@5 89.844 (91.406)
Epoch: [1][20/97], lr: 0.00400	Time 0.308 (0.321)	Data 0.000 (0.029)	Loss 5.2111 (5.5998)	Prec@1 58.594 (57.478)	Prec@5 95.312 (92.188)
Epoch: [1][30/97], lr: 0.00400	Time 0.306 (0.318)	Data 0.000 (0.025)	Loss 4.9816 (5.6746)	Prec@1 62.500 (57.283)	Prec@5 92.969 (91.885)
Epoch: [1][40/97], lr: 0.00400	Time 0.307 (0.316)	Data 0.000 (0.023)	Loss 5.3888 (5.6865)	Prec@1 53.906 (57.336)	Prec@5 93.750 (91.578)
Epoch: [1][50/97], lr: 0.00400	Time 0.307 (0.314)	Data 0.000 (0.022)	Loss 5.8214 (5.6772)	Prec@1 55.469 (57.690)	Prec@5 88.281 (91.759)
Epoch: [1][60/97], lr: 0.00400	Time 0.309 (0.315)	Data 0.000 (0.021)	Loss 4.7990 (5.6338)	Prec@1 66.406 (58.197)	Prec@5 91.406 (91.842)
Epoch: [1][70/97], lr: 0.00400	Time 0.310 (0.314)	Data 0.000 (0.020)	Loss 5.3049 (5.5704)	Prec@1 63.281 (58.781)	Prec@5 95.312 (92.132)
Epoch: [1][80/97], lr: 0.00400	Time 0.317 (0.314)	Data 0.000 (0.020)	Loss 5.1448 (5.5141)	Prec@1 59.375 (59.269)	Prec@5 93.750 (92.313)
Epoch: [1][90/97], lr: 0.00400	Time 0.296 (0.313)	Data 0.000 (0.019)	Loss 5.3164 (5.4842)	Prec@1 62.500 (59.401)	Prec@5 93.750 (92.428)
Epoch: [1][96/97], lr: 0.00400	Time 0.292 (0.311)	Data 0.000 (0.020)	Loss 4.1029 (5.4439)	Prec@1 72.034 (59.786)	Prec@5 97.458 (92.520)
Epoch: [2][0/97], lr: 0.00600	Time 0.384 (0.384)	Data 0.213 (0.213)	Loss 4.4222 (4.4222)	Prec@1 67.969 (67.969)	Prec@5 93.750 (93.750)
Epoch: [2][10/97], lr: 0.00600	Time 0.322 (0.340)	Data 0.001 (0.033)	Loss 5.2706 (4.9867)	Prec@1 63.281 (62.855)	Prec@5 92.188 (93.750)
Epoch: [2][20/97], lr: 0.00600	Time 0.318 (0.326)	Data 0.000 (0.024)	Loss 5.3616 (5.0005)	Prec@1 60.938 (63.356)	Prec@5 91.406 (94.122)
Epoch: [2][30/97], lr: 0.00600	Time 0.309 (0.321)	Data 0.000 (0.022)	Loss 5.6550 (4.9928)	Prec@1 55.469 (63.533)	Prec@5 92.188 (93.800)
Epoch: [2][40/97], lr: 0.00600	Time 0.299 (0.316)	Data 0.000 (0.020)	Loss 5.1436 (5.0336)	Prec@1 59.375 (63.224)	Prec@5 91.406 (93.845)
Epoch: [2][50/97], lr: 0.00600	Time 0.298 (0.312)	Data 0.000 (0.020)	Loss 5.1109 (5.0584)	Prec@1 66.406 (63.189)	Prec@5 92.969 (93.719)
