Epoch: [0][0/97], lr: 0.00200	Time 3.077 (3.077)	Data 0.196 (0.196)	Loss 12.2250 (12.2250)	Prec@1 16.406 (16.406)	Prec@5 51.562 (51.562)
Epoch: [0][10/97], lr: 0.00200	Time 0.359 (0.619)	Data 0.000 (0.018)	Loss 6.5550 (8.9244)	Prec@1 54.688 (39.844)	Prec@5 89.062 (77.344)
Epoch: [0][20/97], lr: 0.00200	Time 0.359 (0.502)	Data 0.000 (0.017)	Loss 7.3208 (7.9499)	Prec@1 39.062 (44.234)	Prec@5 89.062 (81.994)
Epoch: [0][30/97], lr: 0.00200	Time 0.363 (0.460)	Data 0.000 (0.017)	Loss 6.6645 (7.4465)	Prec@1 50.781 (45.917)	Prec@5 89.062 (84.652)
Epoch: [0][40/97], lr: 0.00200	Time 0.362 (0.439)	Data 0.000 (0.017)	Loss 6.5423 (7.1636)	Prec@1 46.094 (47.237)	Prec@5 90.625 (85.938)
Epoch: [0][50/97], lr: 0.00200	Time 0.356 (0.425)	Data 0.000 (0.016)	Loss 5.5540 (6.9226)	Prec@1 57.812 (48.713)	Prec@5 93.750 (86.933)
Epoch: [0][60/97], lr: 0.00200	Time 0.364 (0.417)	Data 0.000 (0.016)	Loss 6.4879 (6.7188)	Prec@1 48.438 (50.128)	Prec@5 89.844 (87.910)
Epoch: [0][70/97], lr: 0.00200	Time 0.376 (0.412)	Data 0.000 (0.016)	Loss 5.1163 (6.5445)	Prec@1 60.156 (51.265)	Prec@5 92.969 (88.556)
Epoch: [0][80/97], lr: 0.00200	Time 0.397 (0.409)	Data 0.000 (0.016)	Loss 5.1584 (6.4226)	Prec@1 60.938 (51.987)	Prec@5 94.531 (89.149)
Epoch: [0][90/97], lr: 0.00200	Time 0.363 (0.406)	Data 0.000 (0.016)	Loss 5.4741 (6.3100)	Prec@1 61.719 (52.885)	Prec@5 94.531 (89.526)
Epoch: [0][96/97], lr: 0.00200	Time 0.945 (0.411)	Data 0.000 (0.017)	Loss 4.9811 (6.2722)	Prec@1 63.559 (53.200)	Prec@5 94.915 (89.723)
Gated Network Weight Gate= FC:0.88, Rot:0.12, Flip:0.00, Sc:0.00
Epoch: [1][0/97], lr: 0.00400	Time 0.827 (0.827)	Data 0.401 (0.401)	Loss 5.7739 (5.7739)	Prec@1 57.031 (57.031)	Prec@5 92.969 (92.969)
Epoch: [1][10/97], lr: 0.00400	Time 0.552 (0.600)	Data 0.001 (0.047)	Loss 5.8213 (5.6660)	Prec@1 56.250 (56.818)	Prec@5 92.969 (93.679)
Epoch: [1][20/97], lr: 0.00400	Time 0.545 (0.591)	Data 0.001 (0.031)	Loss 5.0842 (5.5567)	Prec@1 63.281 (58.073)	Prec@5 93.750 (93.006)
Epoch: [1][30/97], lr: 0.00400	Time 0.578 (0.587)	Data 0.000 (0.025)	Loss 5.7229 (5.5259)	Prec@1 59.375 (58.518)	Prec@5 88.281 (92.616)
Epoch: [1][40/97], lr: 0.00400	Time 0.526 (0.576)	Data 0.000 (0.022)	Loss 5.4822 (5.6055)	Prec@1 60.938 (57.946)	Prec@5 88.281 (91.864)
