Epoch: [0][0/97], lr: 0.00200	Time 2.339 (2.339)	Data 0.203 (0.203)	Loss 14.3823 (14.3823)	Prec@1 1.562 (1.562)	Prec@5 59.375 (59.375)
Epoch: [0][10/97], lr: 0.00200	Time 0.354 (0.499)	Data 0.000 (0.019)	Loss 8.4378 (9.1508)	Prec@1 43.750 (36.861)	Prec@5 78.125 (84.375)
Epoch: [0][20/97], lr: 0.00200	Time 0.336 (0.429)	Data 0.000 (0.018)	Loss 7.7572 (8.4927)	Prec@1 46.875 (44.010)	Prec@5 88.281 (86.644)
Epoch: [0][30/97], lr: 0.00200	Time 0.342 (0.402)	Data 0.000 (0.017)	Loss 8.4948 (7.9409)	Prec@1 48.438 (46.799)	Prec@5 85.156 (88.281)
Epoch: [0][40/97], lr: 0.00200	Time 0.348 (0.387)	Data 0.000 (0.017)	Loss 6.8988 (7.7292)	Prec@1 54.688 (48.209)	Prec@5 91.406 (88.815)
Epoch: [0][50/97], lr: 0.00200	Time 0.339 (0.382)	Data 0.000 (0.017)	Loss 5.7183 (7.5047)	Prec@1 59.375 (49.816)	Prec@5 91.406 (89.170)
Epoch: [0][60/97], lr: 0.00200	Time 0.342 (0.376)	Data 0.000 (0.017)	Loss 6.7734 (7.2748)	Prec@1 53.906 (50.884)	Prec@5 95.312 (89.652)
Epoch: [0][70/97], lr: 0.00200	Time 0.332 (0.370)	Data 0.000 (0.017)	Loss 5.5778 (7.0900)	Prec@1 57.031 (51.585)	Prec@5 92.969 (89.844)
Epoch: [0][80/97], lr: 0.00200	Time 0.334 (0.367)	Data 0.000 (0.017)	Loss 4.7031 (6.8888)	Prec@1 64.844 (52.595)	Prec@5 92.969 (90.075)
Epoch: [0][90/97], lr: 0.00200	Time 0.337 (0.365)	Data 0.000 (0.017)	Loss 5.2813 (6.7199)	Prec@1 61.719 (53.348)	Prec@5 93.750 (90.342)
Epoch: [0][96/97], lr: 0.00200	Time 0.931 (0.370)	Data 0.000 (0.018)	Loss 4.6374 (6.6383)	Prec@1 63.559 (53.627)	Prec@5 95.763 (90.432)
Epoch: [1][0/97], lr: 0.00400	Time 1.313 (1.313)	Data 0.706 (0.706)	Loss 5.6969 (5.6969)	Prec@1 57.031 (57.031)	Prec@5 93.750 (93.750)
Epoch: [1][10/97], lr: 0.00400	Time 0.620 (0.672)	Data 0.001 (0.073)	Loss 5.9430 (5.5996)	Prec@1 53.125 (57.955)	Prec@5 87.500 (92.330)
