Epoch: [0][0/391], lr: 0.00200	Time 2.189 (2.189)	Data 0.428 (0.428)	Loss 5.4429 (5.4429)	Prec@1 0.000 (0.000)	Prec@5 1.172 (1.172)
Epoch: [0][10/391], lr: 0.00200	Time 0.063 (0.253)	Data 0.001 (0.040)	Loss 5.3858 (5.3774)	Prec@1 0.781 (0.533)	Prec@5 1.562 (2.450)
Epoch: [0][20/391], lr: 0.00200	Time 0.039 (0.156)	Data 0.000 (0.021)	Loss 5.3283 (5.3701)	Prec@1 0.781 (0.670)	Prec@5 3.125 (2.679)
Epoch: [0][30/391], lr: 0.00200	Time 0.051 (0.122)	Data 0.000 (0.015)	Loss 5.2691 (5.3456)	Prec@1 1.953 (0.907)	Prec@5 5.078 (3.314)
Epoch: [0][40/391], lr: 0.00200	Time 0.046 (0.104)	Data 0.000 (0.011)	Loss 5.2532 (5.3200)	Prec@1 1.562 (1.038)	Prec@5 6.250 (3.897)
Epoch: [0][50/391], lr: 0.00200	Time 0.042 (0.092)	Data 0.000 (0.009)	Loss 5.0985 (5.2856)	Prec@1 2.734 (1.287)	Prec@5 10.547 (4.779)
Epoch: [0][60/391], lr: 0.00200	Time 0.054 (0.085)	Data 0.001 (0.008)	Loss 5.0663 (5.2541)	Prec@1 3.125 (1.518)	Prec@5 10.156 (5.501)
Epoch: [0][70/391], lr: 0.00200	Time 0.055 (0.080)	Data 0.005 (0.007)	Loss 4.9629 (5.2263)	Prec@1 2.344 (1.667)	Prec@5 12.109 (6.090)
Epoch: [0][80/391], lr: 0.00200	Time 0.057 (0.077)	Data 0.000 (0.006)	Loss 5.0023 (5.1978)	Prec@1 3.125 (1.837)	Prec@5 10.156 (6.621)
Epoch: [0][90/391], lr: 0.00200	Time 0.060 (0.074)	Data 0.000 (0.006)	Loss 4.9823 (5.1760)	Prec@1 3.516 (1.966)	Prec@5 10.938 (7.134)
Epoch: [0][100/391], lr: 0.00200	Time 0.062 (0.071)	Data 0.000 (0.005)	Loss 4.9115 (5.1553)	Prec@1 2.344 (2.027)	Prec@5 9.766 (7.542)
Epoch: [0][110/391], lr: 0.00200	Time 0.046 (0.070)	Data 0.000 (0.005)	Loss 5.0561 (5.1376)	Prec@1 2.344 (2.094)	Prec@5 7.031 (7.890)
Epoch: [0][120/391], lr: 0.00200	Time 0.049 (0.068)	Data 0.000 (0.004)	Loss 4.9199 (5.1210)	Prec@1 3.125 (2.192)	Prec@5 12.109 (8.216)
Epoch: [0][130/391], lr: 0.00200	Time 0.044 (0.066)	Data 0.000 (0.004)	Loss 4.8259 (5.1021)	Prec@1 5.469 (2.317)	Prec@5 14.844 (8.579)
Epoch: [0][140/391], lr: 0.00200	Time 0.039 (0.065)	Data 0.000 (0.004)	Loss 4.7580 (5.0811)	Prec@1 3.125 (2.446)	Prec@5 14.062 (8.971)
Epoch: [0][150/391], lr: 0.00200	Time 0.053 (0.064)	Data 0.001 (0.004)	Loss 4.7978 (5.0627)	Prec@1 4.688 (2.597)	Prec@5 15.625 (9.414)
Epoch: [0][160/391], lr: 0.00200	Time 0.046 (0.063)	Data 0.000 (0.004)	Loss 4.7954 (5.0460)	Prec@1 5.078 (2.732)	Prec@5 13.281 (9.853)
Epoch: [0][170/391], lr: 0.00200	Time 0.056 (0.062)	Data 0.000 (0.003)	Loss 4.7762 (5.0287)	Prec@1 4.688 (2.874)	Prec@5 17.578 (10.211)
Epoch: [0][180/391], lr: 0.00200	Time 0.060 (0.061)	Data 0.001 (0.003)	Loss 4.7038 (5.0115)	Prec@1 4.297 (3.011)	Prec@5 17.969 (10.605)
Epoch: [0][190/391], lr: 0.00200	Time 0.047 (0.060)	Data 0.000 (0.003)	Loss 4.6553 (4.9947)	Prec@1 8.594 (3.192)	Prec@5 20.312 (11.001)
Epoch: [0][200/391], lr: 0.00200	Time 0.038 (0.060)	Data 0.000 (0.003)	Loss 4.6375 (4.9794)	Prec@1 5.078 (3.298)	Prec@5 16.016 (11.315)
Epoch: [0][210/391], lr: 0.00200	Time 0.043 (0.060)	Data 0.000 (0.003)	Loss 4.6562 (4.9614)	Prec@1 5.859 (3.467)	Prec@5 20.312 (11.722)
Epoch: [0][220/391], lr: 0.00200	Time 0.042 (0.059)	Data 0.000 (0.003)	Loss 4.5243 (4.9454)	Prec@1 8.203 (3.595)	Prec@5 20.703 (12.090)
Epoch: [0][230/391], lr: 0.00200	Time 0.054 (0.059)	Data 0.001 (0.003)	Loss 4.5858 (4.9294)	Prec@1 7.812 (3.719)	Prec@5 20.312 (12.448)
Epoch: [0][240/391], lr: 0.00200	Time 0.047 (0.058)	Data 0.000 (0.003)	Loss 4.5643 (4.9133)	Prec@1 5.469 (3.845)	Prec@5 21.875 (12.840)
Epoch: [0][250/391], lr: 0.00200	Time 0.042 (0.057)	Data 0.000 (0.003)	Loss 4.3789 (4.8978)	Prec@1 8.984 (3.983)	Prec@5 22.266 (13.239)
Epoch: [0][260/391], lr: 0.00200	Time 0.042 (0.057)	Data 0.000 (0.003)	Loss 4.6228 (4.8837)	Prec@1 3.906 (4.099)	Prec@5 17.188 (13.555)
Epoch: [0][270/391], lr: 0.00200	Time 0.043 (0.056)	Data 0.000 (0.002)	Loss 4.3326 (4.8689)	Prec@1 11.328 (4.241)	Prec@5 24.219 (13.879)
Epoch: [0][280/391], lr: 0.00200	Time 0.042 (0.056)	Data 0.000 (0.002)	Loss 4.4521 (4.8540)	Prec@1 8.203 (4.405)	Prec@5 25.391 (14.225)
Epoch: [0][290/391], lr: 0.00200	Time 0.039 (0.055)	Data 0.000 (0.002)	Loss 4.5850 (4.8396)	Prec@1 5.859 (4.561)	Prec@5 19.531 (14.625)
Epoch: [0][300/391], lr: 0.00200	Time 0.041 (0.055)	Data 0.000 (0.002)	Loss 4.3256 (4.8261)	Prec@1 9.375 (4.682)	Prec@5 23.047 (14.913)
Epoch: [0][310/391], lr: 0.00200	Time 0.043 (0.054)	Data 0.000 (0.002)	Loss 4.3531 (4.8125)	Prec@1 7.031 (4.779)	Prec@5 24.609 (15.218)
Epoch: [0][320/391], lr: 0.00200	Time 0.043 (0.054)	Data 0.000 (0.002)	Loss 4.4612 (4.7997)	Prec@1 6.250 (4.910)	Prec@5 22.266 (15.509)
Epoch: [0][330/391], lr: 0.00200	Time 0.043 (0.054)	Data 0.000 (0.002)	Loss 4.4240 (4.7873)	Prec@1 9.766 (5.043)	Prec@5 25.000 (15.814)
Epoch: [0][340/391], lr: 0.00200	Time 0.039 (0.053)	Data 0.000 (0.002)	Loss 4.2930 (4.7746)	Prec@1 10.156 (5.150)	Prec@5 28.906 (16.091)
Epoch: [0][350/391], lr: 0.00200	Time 0.041 (0.053)	Data 0.000 (0.002)	Loss 4.2593 (4.7612)	Prec@1 11.328 (5.288)	Prec@5 26.172 (16.411)
Epoch: [0][360/391], lr: 0.00200	Time 0.040 (0.053)	Data 0.000 (0.002)	Loss 4.2854 (4.7487)	Prec@1 11.719 (5.405)	Prec@5 27.344 (16.694)
Epoch: [0][370/391], lr: 0.00200	Time 0.042 (0.052)	Data 0.000 (0.002)	Loss 4.2358 (4.7378)	Prec@1 10.547 (5.500)	Prec@5 30.078 (16.960)
Epoch: [0][380/391], lr: 0.00200	Time 0.040 (0.052)	Data 0.000 (0.002)	Loss 4.2732 (4.7263)	Prec@1 8.594 (5.603)	Prec@5 31.250 (17.243)
Epoch: [0][390/391], lr: 0.00200	Time 0.490 (0.053)	Data 0.000 (0.002)	Loss 4.1988 (4.7172)	Prec@1 12.500 (5.718)	Prec@5 33.750 (17.511)
val Results: Prec@1 8.550 Prec@5 24.330 Loss 4.47553
Best Prec@1: 8.550

Epoch: [1][0/391], lr: 0.00400	Time 0.495 (0.495)	Data 0.441 (0.441)	Loss 4.3038 (4.3038)	Prec@1 10.938 (10.938)	Prec@5 30.859 (30.859)
Epoch: [1][10/391], lr: 0.00400	Time 0.049 (0.084)	Data 0.000 (0.041)	Loss 4.5183 (4.4048)	Prec@1 7.031 (8.274)	Prec@5 24.219 (25.071)
Epoch: [1][20/391], lr: 0.00400	Time 0.048 (0.067)	Data 0.000 (0.022)	Loss 4.1292 (4.3975)	Prec@1 14.062 (8.705)	Prec@5 31.250 (25.446)
Epoch: [1][30/391], lr: 0.00400	Time 0.051 (0.062)	Data 0.000 (0.015)	Loss 4.4243 (4.3912)	Prec@1 7.422 (8.909)	Prec@5 24.219 (25.844)
Epoch: [1][40/391], lr: 0.00400	Time 0.052 (0.058)	Data 0.001 (0.012)	Loss 4.3352 (4.3960)	Prec@1 9.375 (8.899)	Prec@5 25.391 (25.724)
Epoch: [1][50/391], lr: 0.00400	Time 0.047 (0.056)	Data 0.000 (0.010)	Loss 4.3687 (4.3790)	Prec@1 7.812 (9.092)	Prec@5 25.000 (26.088)
Epoch: [1][60/391], lr: 0.00400	Time 0.047 (0.055)	Data 0.000 (0.008)	Loss 4.2912 (4.3659)	Prec@1 12.500 (9.311)	Prec@5 26.562 (26.191)
Epoch: [1][70/391], lr: 0.00400	Time 0.044 (0.053)	Data 0.000 (0.007)	Loss 4.3087 (4.3507)	Prec@1 9.375 (9.403)	Prec@5 27.734 (26.491)
Epoch: [1][80/391], lr: 0.00400	Time 0.033 (0.052)	Data 0.000 (0.006)	Loss 4.3271 (4.3356)	Prec@1 9.375 (9.558)	Prec@5 28.125 (26.886)
Epoch: [1][90/391], lr: 0.00400	Time 0.055 (0.052)	Data 0.000 (0.006)	Loss 4.2484 (4.3257)	Prec@1 10.156 (9.688)	Prec@5 28.516 (27.121)
Epoch: [1][100/391], lr: 0.00400	Time 0.061 (0.052)	Data 0.000 (0.005)	Loss 4.2230 (4.3181)	Prec@1 12.109 (9.789)	Prec@5 33.203 (27.278)
Epoch: [1][110/391], lr: 0.00400	Time 0.049 (0.051)	Data 0.000 (0.005)	Loss 4.2789 (4.3111)	Prec@1 8.203 (9.864)	Prec@5 27.344 (27.428)
Epoch: [1][120/391], lr: 0.00400	Time 0.045 (0.051)	Data 0.000 (0.005)	Loss 3.9315 (4.3032)	Prec@1 15.234 (9.992)	Prec@5 35.156 (27.592)
Epoch: [1][130/391], lr: 0.00400	Time 0.051 (0.051)	Data 0.000 (0.004)	Loss 4.0837 (4.2908)	Prec@1 10.938 (10.153)	Prec@5 30.859 (27.845)
Epoch: [1][140/391], lr: 0.00400	Time 0.066 (0.051)	Data 0.000 (0.004)	Loss 3.9719 (4.2803)	Prec@1 15.625 (10.256)	Prec@5 36.328 (28.081)
Epoch: [1][150/391], lr: 0.00400	Time 0.043 (0.051)	Data 0.000 (0.004)	Loss 4.2338 (4.2729)	Prec@1 10.547 (10.348)	Prec@5 28.125 (28.293)
Epoch: [1][160/391], lr: 0.00400	Time 0.051 (0.051)	Data 0.000 (0.004)	Loss 4.0242 (4.2652)	Prec@1 11.719 (10.336)	Prec@5 33.594 (28.496)
Epoch: [1][170/391], lr: 0.00400	Time 0.076 (0.051)	Data 0.000 (0.003)	Loss 4.1982 (4.2553)	Prec@1 11.719 (10.426)	Prec@5 32.031 (28.669)
Epoch: [1][180/391], lr: 0.00400	Time 0.033 (0.050)	Data 0.000 (0.003)	Loss 4.0259 (4.2452)	Prec@1 12.891 (10.553)	Prec@5 32.031 (28.947)
Epoch: [1][190/391], lr: 0.00400	Time 0.048 (0.050)	Data 0.000 (0.003)	Loss 3.8303 (4.2308)	Prec@1 15.625 (10.704)	Prec@5 40.625 (29.258)
Epoch: [1][200/391], lr: 0.00400	Time 0.055 (0.050)	Data 0.001 (0.003)	Loss 4.1423 (4.2233)	Prec@1 12.891 (10.807)	Prec@5 30.078 (29.460)
Epoch: [1][210/391], lr: 0.00400	Time 0.046 (0.050)	Data 0.000 (0.003)	Loss 4.0786 (4.2149)	Prec@1 11.328 (10.975)	Prec@5 30.859 (29.682)
Epoch: [1][220/391], lr: 0.00400	Time 0.044 (0.049)	Data 0.000 (0.003)	Loss 4.1225 (4.2066)	Prec@1 14.453 (11.120)	Prec@5 30.859 (29.882)
Epoch: [1][230/391], lr: 0.00400	Time 0.061 (0.050)	Data 0.000 (0.003)	Loss 3.8199 (4.1969)	Prec@1 17.969 (11.276)	Prec@5 38.281 (30.093)
Epoch: [1][240/391], lr: 0.00400	Time 0.049 (0.050)	Data 0.000 (0.003)	Loss 4.0585 (4.1885)	Prec@1 10.547 (11.364)	Prec@5 33.984 (30.300)
Epoch: [1][250/391], lr: 0.00400	Time 0.041 (0.049)	Data 0.000 (0.003)	Loss 3.9762 (4.1795)	Prec@1 14.062 (11.468)	Prec@5 33.594 (30.526)
Epoch: [1][260/391], lr: 0.00400	Time 0.041 (0.049)	Data 0.000 (0.003)	Loss 3.9812 (4.1715)	Prec@1 12.500 (11.553)	Prec@5 33.984 (30.758)
Epoch: [1][270/391], lr: 0.00400	Time 0.041 (0.049)	Data 0.000 (0.002)	Loss 4.0349 (4.1633)	Prec@1 12.500 (11.626)	Prec@5 31.250 (30.897)
Epoch: [1][280/391], lr: 0.00400	Time 0.047 (0.049)	Data 0.000 (0.002)	Loss 3.9309 (4.1568)	Prec@1 12.109 (11.703)	Prec@5 35.938 (31.029)
Epoch: [1][290/391], lr: 0.00400	Time 0.040 (0.048)	Data 0.000 (0.002)	Loss 3.9170 (4.1481)	Prec@1 14.062 (11.810)	Prec@5 33.594 (31.210)
Epoch: [1][300/391], lr: 0.00400	Time 0.036 (0.048)	Data 0.000 (0.002)	Loss 4.0015 (4.1399)	Prec@1 14.453 (11.925)	Prec@5 36.719 (31.415)
Epoch: [1][310/391], lr: 0.00400	Time 0.040 (0.048)	Data 0.000 (0.002)	Loss 3.9836 (4.1296)	Prec@1 16.016 (12.079)	Prec@5 35.547 (31.659)
Epoch: [1][320/391], lr: 0.00400	Time 0.042 (0.048)	Data 0.000 (0.002)	Loss 4.0042 (4.1229)	Prec@1 11.719 (12.158)	Prec@5 37.109 (31.846)
Epoch: [1][330/391], lr: 0.00400	Time 0.043 (0.047)	Data 0.000 (0.002)	Loss 3.8288 (4.1141)	Prec@1 16.797 (12.257)	Prec@5 37.109 (32.030)
Epoch: [1][340/391], lr: 0.00400	Time 0.041 (0.047)	Data 0.000 (0.002)	Loss 3.8486 (4.1067)	Prec@1 14.844 (12.342)	Prec@5 39.453 (32.232)
Epoch: [1][350/391], lr: 0.00400	Time 0.039 (0.047)	Data 0.000 (0.002)	Loss 3.7987 (4.0975)	Prec@1 14.062 (12.465)	Prec@5 40.625 (32.440)
Epoch: [1][360/391], lr: 0.00400	Time 0.044 (0.047)	Data 0.000 (0.002)	Loss 3.7921 (4.0894)	Prec@1 18.750 (12.568)	Prec@5 41.406 (32.635)
Epoch: [1][370/391], lr: 0.00400	Time 0.040 (0.047)	Data 0.000 (0.002)	Loss 3.9164 (4.0816)	Prec@1 16.016 (12.682)	Prec@5 37.891 (32.805)
Epoch: [1][380/391], lr: 0.00400	Time 0.040 (0.047)	Data 0.000 (0.002)	Loss 3.8378 (4.0760)	Prec@1 16.797 (12.789)	Prec@5 39.453 (32.925)
Epoch: [1][390/391], lr: 0.00400	Time 0.032 (0.046)	Data 0.000 (0.002)	Loss 3.9180 (4.0696)	Prec@1 15.625 (12.884)	Prec@5 37.500 (33.060)
val Results: Prec@1 16.750 Prec@5 40.730 Loss 3.80044
Best Prec@1: 16.750

Epoch: [2][0/391], lr: 0.00600	Time 0.467 (0.467)	Data 0.406 (0.406)	Loss 3.7697 (3.7697)	Prec@1 16.406 (16.406)	Prec@5 39.453 (39.453)
Epoch: [2][10/391], lr: 0.00600	Time 0.042 (0.081)	Data 0.000 (0.038)	Loss 3.7464 (3.8092)	Prec@1 17.578 (16.406)	Prec@5 41.797 (39.666)
Epoch: [2][20/391], lr: 0.00600	Time 0.045 (0.062)	Data 0.000 (0.020)	Loss 3.8456 (3.8375)	Prec@1 16.797 (15.923)	Prec@5 36.328 (38.821)
Epoch: [2][30/391], lr: 0.00600	Time 0.039 (0.057)	Data 0.000 (0.014)	Loss 3.9287 (3.8428)	Prec@1 15.234 (15.915)	Prec@5 32.031 (38.395)
Epoch: [2][40/391], lr: 0.00600	Time 0.044 (0.056)	Data 0.000 (0.011)	Loss 3.9448 (3.8381)	Prec@1 15.234 (16.016)	Prec@5 39.453 (38.786)
Epoch: [2][50/391], lr: 0.00600	Time 0.057 (0.054)	Data 0.000 (0.009)	Loss 3.8665 (3.8568)	Prec@1 14.062 (15.740)	Prec@5 38.672 (38.396)
Epoch: [2][60/391], lr: 0.00600	Time 0.062 (0.054)	Data 0.001 (0.007)	Loss 3.8197 (3.8712)	Prec@1 14.453 (15.446)	Prec@5 37.500 (37.980)
Epoch: [2][70/391], lr: 0.00600	Time 0.063 (0.053)	Data 0.001 (0.007)	Loss 3.7425 (3.8741)	Prec@1 15.625 (15.471)	Prec@5 39.062 (37.929)
Epoch: [2][80/391], lr: 0.00600	Time 0.044 (0.052)	Data 0.000 (0.006)	Loss 3.8881 (3.8706)	Prec@1 15.625 (15.514)	Prec@5 37.109 (37.881)
Epoch: [2][90/391], lr: 0.00600	Time 0.048 (0.051)	Data 0.000 (0.005)	Loss 3.7476 (3.8650)	Prec@1 18.359 (15.599)	Prec@5 42.578 (38.067)
Epoch: [2][100/391], lr: 0.00600	Time 0.033 (0.050)	Data 0.000 (0.005)	Loss 3.9230 (3.8606)	Prec@1 11.328 (15.675)	Prec@5 35.547 (38.177)
Epoch: [2][110/391], lr: 0.00600	Time 0.042 (0.050)	Data 0.000 (0.005)	Loss 3.8479 (3.8553)	Prec@1 17.969 (15.695)	Prec@5 37.891 (38.225)
Epoch: [2][120/391], lr: 0.00600	Time 0.054 (0.050)	Data 0.000 (0.004)	Loss 3.6696 (3.8486)	Prec@1 19.531 (15.890)	Prec@5 41.797 (38.294)
Epoch: [2][130/391], lr: 0.00600	Time 0.044 (0.049)	Data 0.000 (0.004)	Loss 3.7149 (3.8465)	Prec@1 17.188 (15.935)	Prec@5 39.844 (38.323)
Epoch: [2][140/391], lr: 0.00600	Time 0.046 (0.050)	Data 0.000 (0.004)	Loss 3.9232 (3.8414)	Prec@1 12.500 (15.935)	Prec@5 39.453 (38.445)
Epoch: [2][150/391], lr: 0.00600	Time 0.042 (0.049)	Data 0.000 (0.004)	Loss 3.9935 (3.8352)	Prec@1 13.672 (15.987)	Prec@5 38.281 (38.568)
Epoch: [2][160/391], lr: 0.00600	Time 0.037 (0.049)	Data 0.000 (0.003)	Loss 3.6914 (3.8282)	Prec@1 18.359 (16.098)	Prec@5 37.500 (38.735)
Epoch: [2][170/391], lr: 0.00600	Time 0.050 (0.049)	Data 0.000 (0.003)	Loss 3.7866 (3.8220)	Prec@1 17.188 (16.249)	Prec@5 41.016 (38.932)
Epoch: [2][180/391], lr: 0.00600	Time 0.049 (0.049)	Data 0.000 (0.003)	Loss 3.8625 (3.8184)	Prec@1 17.188 (16.272)	Prec@5 36.719 (38.989)
Epoch: [2][190/391], lr: 0.00600	Time 0.063 (0.049)	Data 0.001 (0.003)	Loss 3.8970 (3.8133)	Prec@1 17.188 (16.345)	Prec@5 41.406 (39.118)
Epoch: [2][200/391], lr: 0.00600	Time 0.057 (0.049)	Data 0.000 (0.003)	Loss 3.6510 (3.8074)	Prec@1 18.359 (16.451)	Prec@5 40.234 (39.255)
Epoch: [2][210/391], lr: 0.00600	Time 0.045 (0.049)	Data 0.000 (0.003)	Loss 3.4690 (3.8009)	Prec@1 21.875 (16.517)	Prec@5 47.656 (39.392)
Epoch: [2][220/391], lr: 0.00600	Time 0.058 (0.049)	Data 0.000 (0.003)	Loss 3.6627 (3.7957)	Prec@1 21.875 (16.585)	Prec@5 41.406 (39.503)
Epoch: [2][230/391], lr: 0.00600	Time 0.046 (0.049)	Data 0.000 (0.003)	Loss 3.6732 (3.7908)	Prec@1 17.578 (16.655)	Prec@5 44.922 (39.607)
Epoch: [2][240/391], lr: 0.00600	Time 0.053 (0.049)	Data 0.000 (0.003)	Loss 3.7470 (3.7841)	Prec@1 19.141 (16.739)	Prec@5 43.750 (39.777)
Epoch: [2][250/391], lr: 0.00600	Time 0.044 (0.049)	Data 0.000 (0.002)	Loss 3.4955 (3.7792)	Prec@1 22.266 (16.806)	Prec@5 50.000 (39.906)
Epoch: [2][260/391], lr: 0.00600	Time 0.046 (0.049)	Data 0.001 (0.002)	Loss 3.7404 (3.7763)	Prec@1 16.406 (16.822)	Prec@5 39.844 (39.960)
Epoch: [2][270/391], lr: 0.00600	Time 0.040 (0.049)	Data 0.000 (0.002)	Loss 3.7416 (3.7713)	Prec@1 20.312 (16.889)	Prec@5 42.969 (40.035)
Epoch: [2][280/391], lr: 0.00600	Time 0.041 (0.049)	Data 0.000 (0.002)	Loss 3.7296 (3.7661)	Prec@1 17.188 (16.971)	Prec@5 40.234 (40.179)
Epoch: [2][290/391], lr: 0.00600	Time 0.040 (0.049)	Data 0.000 (0.002)	Loss 3.7287 (3.7604)	Prec@1 16.016 (17.098)	Prec@5 39.453 (40.283)
Epoch: [2][300/391], lr: 0.00600	Time 0.038 (0.048)	Data 0.000 (0.002)	Loss 3.7771 (3.7565)	Prec@1 21.094 (17.195)	Prec@5 39.062 (40.367)
Epoch: [2][310/391], lr: 0.00600	Time 0.040 (0.048)	Data 0.000 (0.002)	Loss 3.6986 (3.7522)	Prec@1 16.797 (17.244)	Prec@5 42.578 (40.471)
Epoch: [2][320/391], lr: 0.00600	Time 0.041 (0.048)	Data 0.000 (0.002)	Loss 3.6479 (3.7480)	Prec@1 19.922 (17.314)	Prec@5 42.578 (40.576)
Epoch: [2][330/391], lr: 0.00600	Time 0.039 (0.048)	Data 0.000 (0.002)	Loss 3.5733 (3.7443)	Prec@1 22.656 (17.409)	Prec@5 41.797 (40.650)
Epoch: [2][340/391], lr: 0.00600	Time 0.039 (0.048)	Data 0.000 (0.002)	Loss 3.7936 (3.7402)	Prec@1 20.312 (17.482)	Prec@5 39.062 (40.756)
Epoch: [2][350/391], lr: 0.00600	Time 0.041 (0.047)	Data 0.000 (0.002)	Loss 3.6924 (3.7358)	Prec@1 17.188 (17.546)	Prec@5 43.359 (40.841)
Epoch: [2][360/391], lr: 0.00600	Time 0.043 (0.047)	Data 0.000 (0.002)	Loss 3.6527 (3.7315)	Prec@1 20.312 (17.627)	Prec@5 41.016 (40.945)
Epoch: [2][370/391], lr: 0.00600	Time 0.041 (0.047)	Data 0.000 (0.002)	Loss 3.3960 (3.7285)	Prec@1 22.656 (17.676)	Prec@5 49.219 (41.006)
Epoch: [2][380/391], lr: 0.00600	Time 0.038 (0.047)	Data 0.000 (0.002)	Loss 3.4713 (3.7257)	Prec@1 17.188 (17.709)	Prec@5 46.094 (41.054)
Epoch: [2][390/391], lr: 0.00600	Time 0.033 (0.047)	Data 0.000 (0.002)	Loss 3.6746 (3.7204)	Prec@1 19.375 (17.774)	Prec@5 45.000 (41.189)
val Results: Prec@1 20.840 Prec@5 44.740 Loss 3.60443
Best Prec@1: 20.840

Epoch: [3][0/391], lr: 0.00800	Time 0.504 (0.504)	Data 0.448 (0.448)	Loss 3.3884 (3.3884)	Prec@1 23.047 (23.047)	Prec@5 48.828 (48.828)
Epoch: [3][10/391], lr: 0.00800	Time 0.042 (0.086)	Data 0.000 (0.041)	Loss 3.6679 (3.5447)	Prec@1 17.188 (20.597)	Prec@5 41.016 (44.460)
Epoch: [3][20/391], lr: 0.00800	Time 0.042 (0.064)	Data 0.000 (0.022)	Loss 3.6307 (3.5135)	Prec@1 18.359 (20.815)	Prec@5 44.141 (45.573)
Epoch: [3][30/391], lr: 0.00800	Time 0.039 (0.057)	Data 0.000 (0.015)	Loss 3.5068 (3.5357)	Prec@1 19.922 (20.514)	Prec@5 48.438 (45.376)
Epoch: [3][40/391], lr: 0.00800	Time 0.051 (0.054)	Data 0.000 (0.012)	Loss 3.6725 (3.5619)	Prec@1 20.703 (20.179)	Prec@5 41.406 (44.941)
Epoch: [3][50/391], lr: 0.00800	Time 0.045 (0.053)	Data 0.000 (0.010)	Loss 3.5599 (3.5710)	Prec@1 21.875 (20.090)	Prec@5 47.266 (44.669)
Epoch: [3][60/391], lr: 0.00800	Time 0.065 (0.053)	Data 0.000 (0.008)	Loss 3.7548 (3.5779)	Prec@1 20.312 (20.018)	Prec@5 37.891 (44.454)
Epoch: [3][70/391], lr: 0.00800	Time 0.047 (0.052)	Data 0.000 (0.007)	Loss 3.4164 (3.5690)	Prec@1 21.484 (20.346)	Prec@5 49.219 (44.663)
Epoch: [3][80/391], lr: 0.00800	Time 0.046 (0.052)	Data 0.000 (0.006)	Loss 3.3808 (3.5705)	Prec@1 22.266 (20.288)	Prec@5 49.219 (44.652)
Epoch: [3][90/391], lr: 0.00800	Time 0.046 (0.052)	Data 0.000 (0.006)	Loss 3.6669 (3.5682)	Prec@1 17.578 (20.244)	Prec@5 44.922 (44.776)
Epoch: [3][100/391], lr: 0.00800	Time 0.043 (0.051)	Data 0.001 (0.005)	Loss 3.5533 (3.5707)	Prec@1 19.141 (20.231)	Prec@5 45.312 (44.709)
Epoch: [3][110/391], lr: 0.00800	Time 0.049 (0.051)	Data 0.000 (0.005)	Loss 3.5492 (3.5710)	Prec@1 19.141 (20.168)	Prec@5 44.531 (44.644)
Epoch: [3][120/391], lr: 0.00800	Time 0.047 (0.051)	Data 0.001 (0.004)	Loss 3.4811 (3.5629)	Prec@1 19.531 (20.238)	Prec@5 48.438 (44.925)
Epoch: [3][130/391], lr: 0.00800	Time 0.047 (0.051)	Data 0.000 (0.004)	Loss 3.4880 (3.5536)	Prec@1 21.484 (20.387)	Prec@5 44.141 (45.160)
Epoch: [3][140/391], lr: 0.00800	Time 0.043 (0.051)	Data 0.000 (0.004)	Loss 3.4911 (3.5527)	Prec@1 23.828 (20.401)	Prec@5 47.266 (45.160)
Epoch: [3][150/391], lr: 0.00800	Time 0.059 (0.051)	Data 0.001 (0.004)	Loss 3.4236 (3.5507)	Prec@1 20.312 (20.388)	Prec@5 51.953 (45.294)
Epoch: [3][160/391], lr: 0.00800	Time 0.050 (0.051)	Data 0.000 (0.004)	Loss 3.5067 (3.5499)	Prec@1 20.312 (20.354)	Prec@5 46.875 (45.213)
Epoch: [3][170/391], lr: 0.00800	Time 0.049 (0.051)	Data 0.001 (0.003)	Loss 3.6008 (3.5440)	Prec@1 18.750 (20.395)	Prec@5 43.750 (45.338)
