Epoch: [0][0/391], lr: 0.00200	Time 5.835 (5.835)	Data 0.430 (0.430)	Loss 5.4195 (5.4195)	Prec@1 0.391 (0.391)	Prec@5 0.781 (0.781)
Epoch: [0][10/391], lr: 0.00200	Time 0.458 (0.933)	Data 0.000 (0.039)	Loss 5.3816 (5.3915)	Prec@1 0.391 (0.497)	Prec@5 1.562 (2.024)
Epoch: [0][20/391], lr: 0.00200	Time 0.479 (0.709)	Data 0.000 (0.022)	Loss 5.3773 (5.3786)	Prec@1 0.781 (0.539)	Prec@5 5.078 (2.418)
Epoch: [0][30/391], lr: 0.00200	Time 0.436 (0.626)	Data 0.000 (0.016)	Loss 5.3306 (5.3629)	Prec@1 0.391 (0.617)	Prec@5 3.906 (2.860)
Epoch: [0][40/391], lr: 0.00200	Time 0.455 (0.582)	Data 0.000 (0.013)	Loss 5.2471 (5.3439)	Prec@1 1.953 (0.715)	Prec@5 6.250 (3.249)
Epoch: [0][50/391], lr: 0.00200	Time 0.455 (0.557)	Data 0.000 (0.011)	Loss 5.2708 (5.3226)	Prec@1 1.172 (0.973)	Prec@5 5.469 (3.830)
Epoch: [0][60/391], lr: 0.00200	Time 0.470 (0.540)	Data 0.000 (0.010)	Loss 5.1045 (5.3015)	Prec@1 3.125 (1.076)	Prec@5 8.984 (4.310)
Epoch: [0][70/391], lr: 0.00200	Time 0.454 (0.528)	Data 0.000 (0.009)	Loss 5.0473 (5.2758)	Prec@1 1.953 (1.282)	Prec@5 11.719 (5.001)
Epoch: [0][80/391], lr: 0.00200	Time 0.449 (0.519)	Data 0.000 (0.008)	Loss 4.9584 (5.2467)	Prec@1 2.344 (1.413)	Prec@5 10.156 (5.580)
Epoch: [0][90/391], lr: 0.00200	Time 0.453 (0.512)	Data 0.000 (0.008)	Loss 5.0659 (5.2229)	Prec@1 2.344 (1.567)	Prec@5 7.031 (6.014)
Epoch: [0][100/391], lr: 0.00200	Time 0.456 (0.506)	Data 0.000 (0.007)	Loss 4.9804 (5.1989)	Prec@1 3.125 (1.783)	Prec@5 10.156 (6.594)
Epoch: [0][110/391], lr: 0.00200	Time 0.465 (0.502)	Data 0.000 (0.007)	Loss 4.8573 (5.1756)	Prec@1 3.906 (1.883)	Prec@5 13.281 (7.042)
Epoch: [0][120/391], lr: 0.00200	Time 0.445 (0.498)	Data 0.000 (0.007)	Loss 4.9756 (5.1565)	Prec@1 2.344 (2.002)	Prec@5 12.500 (7.428)
Epoch: [0][130/391], lr: 0.00200	Time 0.456 (0.495)	Data 0.000 (0.006)	Loss 4.7962 (5.1381)	Prec@1 4.297 (2.156)	Prec@5 17.188 (7.866)
Epoch: [0][140/391], lr: 0.00200	Time 0.454 (0.491)	Data 0.000 (0.006)	Loss 4.9566 (5.1229)	Prec@1 3.516 (2.241)	Prec@5 13.672 (8.236)
Epoch: [0][150/391], lr: 0.00200	Time 0.457 (0.489)	Data 0.000 (0.006)	Loss 4.7919 (5.1075)	Prec@1 5.469 (2.328)	Prec@5 14.844 (8.555)
Epoch: [0][160/391], lr: 0.00200	Time 0.457 (0.487)	Data 0.000 (0.006)	Loss 4.7947 (5.0905)	Prec@1 4.688 (2.426)	Prec@5 18.750 (8.943)
