Epoch: [0][0/391], lr: 0.00200	Time 2.298 (2.298)	Data 0.481 (0.481)	Loss 5.4298 (5.4298)	Prec@1 1.172 (1.172)	Prec@5 2.734 (2.734)
Epoch: [0][10/391], lr: 0.00200	Time 0.046 (0.253)	Data 0.000 (0.044)	Loss 5.3264 (5.3760)	Prec@1 0.000 (0.604)	Prec@5 5.469 (2.947)
Epoch: [0][20/391], lr: 0.00200	Time 0.045 (0.155)	Data 0.000 (0.023)	Loss 5.3099 (5.3613)	Prec@1 1.172 (0.614)	Prec@5 5.859 (3.330)
Epoch: [0][30/391], lr: 0.00200	Time 0.046 (0.120)	Data 0.000 (0.016)	Loss 5.3037 (5.3391)	Prec@1 1.172 (0.869)	Prec@5 4.297 (3.667)
Epoch: [0][40/391], lr: 0.00200	Time 0.046 (0.103)	Data 0.000 (0.012)	Loss 5.2222 (5.3132)	Prec@1 1.953 (1.010)	Prec@5 5.859 (4.297)
Epoch: [0][50/391], lr: 0.00200	Time 0.050 (0.093)	Data 0.000 (0.010)	Loss 5.2103 (5.2836)	Prec@1 1.172 (1.103)	Prec@5 5.859 (4.940)
Epoch: [0][60/391], lr: 0.00200	Time 0.051 (0.085)	Data 0.000 (0.009)	Loss 5.0893 (5.2495)	Prec@1 1.562 (1.281)	Prec@5 7.031 (5.648)
Epoch: [0][70/391], lr: 0.00200	Time 0.045 (0.081)	Data 0.000 (0.008)	Loss 4.9934 (5.2207)	Prec@1 3.125 (1.469)	Prec@5 10.156 (6.195)
Epoch: [0][80/391], lr: 0.00200	Time 0.046 (0.077)	Data 0.000 (0.007)	Loss 5.0647 (5.1974)	Prec@1 1.172 (1.587)	Prec@5 7.812 (6.674)
Epoch: [0][90/391], lr: 0.00200	Time 0.044 (0.073)	Data 0.000 (0.006)	Loss 4.9304 (5.1701)	Prec@1 3.516 (1.747)	Prec@5 13.281 (7.203)
Epoch: [0][100/391], lr: 0.00200	Time 0.050 (0.071)	Data 0.000 (0.006)	Loss 4.9310 (5.1475)	Prec@1 1.953 (1.926)	Prec@5 11.328 (7.716)
Epoch: [0][110/391], lr: 0.00200	Time 0.066 (0.069)	Data 0.000 (0.005)	Loss 4.7943 (5.1243)	Prec@1 5.078 (2.147)	Prec@5 16.406 (8.263)
Epoch: [0][120/391], lr: 0.00200	Time 0.045 (0.068)	Data 0.000 (0.005)	Loss 4.9057 (5.1026)	Prec@1 4.688 (2.308)	Prec@5 12.109 (8.710)
