Epoch: [0][0/391], lr: 0.00200	Time 2.631 (2.631)	Data 0.528 (0.528)	Loss 5.4832 (5.4832)	Prec@1 0.000 (0.000)	Prec@5 0.781 (0.781)
Epoch: [0][10/391], lr: 0.00200	Time 0.061 (0.295)	Data 0.000 (0.048)	Loss 5.3452 (5.3858)	Prec@1 0.391 (0.533)	Prec@5 3.906 (2.734)
Epoch: [0][20/391], lr: 0.00200	Time 0.060 (0.184)	Data 0.000 (0.026)	Loss 5.3142 (5.3818)	Prec@1 1.562 (0.763)	Prec@5 3.906 (3.106)
Epoch: [0][30/391], lr: 0.00200	Time 0.061 (0.144)	Data 0.000 (0.018)	Loss 5.2735 (5.3614)	Prec@1 1.953 (0.907)	Prec@5 5.469 (3.566)
Epoch: [0][40/391], lr: 0.00200	Time 0.061 (0.124)	Data 0.000 (0.014)	Loss 5.2848 (5.3433)	Prec@1 1.172 (1.010)	Prec@5 5.469 (4.049)
Epoch: [0][50/391], lr: 0.00200	Time 0.062 (0.112)	Data 0.000 (0.011)	Loss 5.2374 (5.3254)	Prec@1 0.391 (1.057)	Prec@5 5.078 (4.320)
Epoch: [0][60/391], lr: 0.00200	Time 0.060 (0.103)	Data 0.000 (0.009)	Loss 5.1021 (5.3061)	Prec@1 2.734 (1.121)	Prec@5 7.422 (4.752)
Epoch: [0][70/391], lr: 0.00200	Time 0.061 (0.097)	Data 0.000 (0.008)	Loss 5.0951 (5.2858)	Prec@1 1.953 (1.227)	Prec@5 6.250 (5.084)
Epoch: [0][80/391], lr: 0.00200	Time 0.062 (0.093)	Data 0.000 (0.007)	Loss 5.0531 (5.2606)	Prec@1 1.953 (1.360)	Prec@5 8.594 (5.546)
Epoch: [0][90/391], lr: 0.00200	Time 0.065 (0.090)	Data 0.000 (0.007)	Loss 5.0577 (5.2392)	Prec@1 1.953 (1.502)	Prec@5 12.109 (5.915)
Epoch: [0][100/391], lr: 0.00200	Time 0.060 (0.087)	Data 0.000 (0.006)	Loss 5.1332 (5.2158)	Prec@1 0.781 (1.636)	Prec@5 7.812 (6.405)
Epoch: [0][110/391], lr: 0.00200	Time 0.062 (0.085)	Data 0.000 (0.006)	Loss 5.0010 (5.1948)	Prec@1 2.344 (1.774)	Prec@5 8.203 (6.876)
Epoch: [0][120/391], lr: 0.00200	Time 0.061 (0.083)	Data 0.000 (0.005)	Loss 4.9723 (5.1755)	Prec@1 3.516 (1.924)	Prec@5 12.500 (7.306)
Epoch: [0][130/391], lr: 0.00200	Time 0.063 (0.081)	Data 0.000 (0.005)	Loss 4.9902 (5.1572)	Prec@1 2.734 (2.013)	Prec@5 10.156 (7.735)
Epoch: [0][140/391], lr: 0.00200	Time 0.060 (0.080)	Data 0.000 (0.005)	Loss 4.9501 (5.1393)	Prec@1 4.688 (2.153)	Prec@5 16.406 (8.198)
Epoch: [0][150/391], lr: 0.00200	Time 0.065 (0.079)	Data 0.000 (0.004)	Loss 4.8333 (5.1216)	Prec@1 3.516 (2.282)	Prec@5 13.281 (8.573)
Epoch: [0][160/391], lr: 0.00200	Time 0.062 (0.078)	Data 0.000 (0.004)	Loss 5.0000 (5.1044)	Prec@1 3.516 (2.390)	Prec@5 11.719 (8.919)
Epoch: [0][170/391], lr: 0.00200	Time 0.060 (0.077)	Data 0.000 (0.004)	Loss 4.8346 (5.0884)	Prec@1 2.734 (2.479)	Prec@5 12.891 (9.229)
