Epoch: [0][0/391], lr: 0.00200	Time 2.131 (2.131)	Data 0.461 (0.461)	Loss 5.4622 (5.4622)	Prec@1 1.562 (1.562)	Prec@5 3.125 (3.125)
Epoch: [0][10/391], lr: 0.00200	Time 0.032 (0.222)	Data 0.000 (0.042)	Loss 5.4227 (5.3994)	Prec@1 0.000 (0.391)	Prec@5 2.344 (2.273)
Epoch: [0][20/391], lr: 0.00200	Time 0.032 (0.131)	Data 0.000 (0.023)	Loss 5.3152 (5.3847)	Prec@1 1.953 (0.632)	Prec@5 5.469 (2.809)
Epoch: [0][30/391], lr: 0.00200	Time 0.032 (0.099)	Data 0.000 (0.016)	Loss 5.3022 (5.3609)	Prec@1 0.781 (0.781)	Prec@5 3.516 (3.289)
Epoch: [0][40/391], lr: 0.00200	Time 0.032 (0.083)	Data 0.000 (0.012)	Loss 5.2431 (5.3328)	Prec@1 0.781 (0.905)	Prec@5 3.906 (3.897)
Epoch: [0][50/391], lr: 0.00200	Time 0.024 (0.072)	Data 0.000 (0.010)	Loss 5.1185 (5.3046)	Prec@1 3.125 (1.126)	Prec@5 10.938 (4.603)
Epoch: [0][60/391], lr: 0.00200	Time 0.031 (0.066)	Data 0.000 (0.008)	Loss 5.1081 (5.2723)	Prec@1 2.344 (1.428)	Prec@5 7.812 (5.302)
Epoch: [0][70/391], lr: 0.00200	Time 0.029 (0.061)	Data 0.000 (0.007)	Loss 4.9779 (5.2367)	Prec@1 4.688 (1.634)	Prec@5 12.500 (5.953)
Epoch: [0][80/391], lr: 0.00200	Time 0.031 (0.057)	Data 0.000 (0.007)	Loss 5.0393 (5.2068)	Prec@1 3.906 (1.804)	Prec@5 11.719 (6.491)
Epoch: [0][90/391], lr: 0.00200	Time 0.030 (0.054)	Data 0.000 (0.006)	Loss 5.0583 (5.1768)	Prec@1 3.516 (1.970)	Prec@5 8.984 (7.091)
Epoch: [0][100/391], lr: 0.00200	Time 0.031 (0.052)	Data 0.000 (0.006)	Loss 4.8241 (5.1485)	Prec@1 3.516 (2.108)	Prec@5 12.891 (7.712)
Epoch: [0][110/391], lr: 0.00200	Time 0.032 (0.050)	Data 0.000 (0.005)	Loss 4.8420 (5.1211)	Prec@1 3.906 (2.316)	Prec@5 14.453 (8.330)
Epoch: [0][120/391], lr: 0.00200	Time 0.030 (0.049)	Data 0.001 (0.005)	Loss 4.7342 (5.0937)	Prec@1 6.250 (2.592)	Prec@5 15.234 (8.994)
Epoch: [0][130/391], lr: 0.00200	Time 0.033 (0.048)	Data 0.001 (0.005)	Loss 4.7083 (5.0695)	Prec@1 4.297 (2.734)	Prec@5 19.141 (9.548)
Epoch: [0][140/391], lr: 0.00200	Time 0.032 (0.047)	Data 0.000 (0.004)	Loss 4.7195 (5.0459)	Prec@1 7.031 (2.962)	Prec@5 14.844 (10.029)
Epoch: [0][150/391], lr: 0.00200	Time 0.033 (0.046)	Data 0.000 (0.004)	Loss 4.6125 (5.0229)	Prec@1 6.250 (3.161)	Prec@5 19.922 (10.565)
Epoch: [0][160/391], lr: 0.00200	Time 0.032 (0.045)	Data 0.000 (0.004)	Loss 4.5632 (5.0000)	Prec@1 7.031 (3.370)	Prec@5 21.094 (11.086)
Epoch: [0][170/391], lr: 0.00200	Time 0.032 (0.044)	Data 0.000 (0.004)	Loss 4.5162 (4.9761)	Prec@1 7.031 (3.607)	Prec@5 23.438 (11.634)
Epoch: [0][180/391], lr: 0.00200	Time 0.031 (0.043)	Data 0.000 (0.003)	Loss 4.5287 (4.9578)	Prec@1 7.422 (3.755)	Prec@5 21.484 (12.051)
Epoch: [0][190/391], lr: 0.00200	Time 0.031 (0.043)	Data 0.000 (0.003)	Loss 4.6042 (4.9387)	Prec@1 4.688 (3.914)	Prec@5 19.922 (12.537)
Epoch: [0][200/391], lr: 0.00200	Time 0.032 (0.042)	Data 0.000 (0.003)	Loss 4.6260 (4.9205)	Prec@1 8.594 (4.064)	Prec@5 23.438 (12.961)
Epoch: [0][210/391], lr: 0.00200	Time 0.032 (0.042)	Data 0.000 (0.003)	Loss 4.5025 (4.9010)	Prec@1 10.156 (4.215)	Prec@5 22.656 (13.389)
Epoch: [0][220/391], lr: 0.00200	Time 0.031 (0.041)	Data 0.000 (0.003)	Loss 4.5659 (4.8828)	Prec@1 6.641 (4.405)	Prec@5 21.484 (13.829)
Epoch: [0][230/391], lr: 0.00200	Time 0.031 (0.041)	Data 0.000 (0.003)	Loss 4.4871 (4.8663)	Prec@1 7.031 (4.539)	Prec@5 21.484 (14.216)
Epoch: [0][240/391], lr: 0.00200	Time 0.033 (0.040)	Data 0.000 (0.003)	Loss 4.4981 (4.8464)	Prec@1 7.422 (4.733)	Prec@5 23.047 (14.649)
Epoch: [0][250/391], lr: 0.00200	Time 0.030 (0.040)	Data 0.001 (0.003)	Loss 4.1612 (4.8289)	Prec@1 11.328 (4.894)	Prec@5 29.688 (15.055)
Epoch: [0][260/391], lr: 0.00200	Time 0.033 (0.040)	Data 0.000 (0.003)	Loss 4.4042 (4.8124)	Prec@1 9.766 (5.035)	Prec@5 26.172 (15.433)
Epoch: [0][270/391], lr: 0.00200	Time 0.027 (0.040)	Data 0.001 (0.003)	Loss 4.4454 (4.7961)	Prec@1 10.156 (5.211)	Prec@5 25.000 (15.869)
Epoch: [0][280/391], lr: 0.00200	Time 0.031 (0.039)	Data 0.000 (0.003)	Loss 4.3570 (4.7795)	Prec@1 9.375 (5.374)	Prec@5 24.219 (16.227)
Epoch: [0][290/391], lr: 0.00200	Time 0.032 (0.039)	Data 0.000 (0.002)	Loss 4.3921 (4.7643)	Prec@1 9.766 (5.557)	Prec@5 24.219 (16.578)
Epoch: [0][300/391], lr: 0.00200	Time 0.031 (0.039)	Data 0.000 (0.002)	Loss 4.1979 (4.7478)	Prec@1 12.109 (5.705)	Prec@5 30.859 (16.990)
Epoch: [0][310/391], lr: 0.00200	Time 0.035 (0.039)	Data 0.001 (0.002)	Loss 4.2124 (4.7313)	Prec@1 10.156 (5.857)	Prec@5 28.906 (17.393)
Epoch: [0][320/391], lr: 0.00200	Time 0.031 (0.038)	Data 0.001 (0.002)	Loss 4.2509 (4.7162)	Prec@1 7.422 (5.988)	Prec@5 25.000 (17.755)
Epoch: [0][330/391], lr: 0.00200	Time 0.030 (0.038)	Data 0.000 (0.002)	Loss 4.3066 (4.7019)	Prec@1 9.375 (6.158)	Prec@5 25.391 (18.070)
Epoch: [0][340/391], lr: 0.00200	Time 0.032 (0.038)	Data 0.000 (0.002)	Loss 4.3444 (4.6866)	Prec@1 7.031 (6.294)	Prec@5 26.172 (18.422)
Epoch: [0][350/391], lr: 0.00200	Time 0.027 (0.038)	Data 0.000 (0.002)	Loss 4.2206 (4.6723)	Prec@1 8.594 (6.427)	Prec@5 31.250 (18.774)
Epoch: [0][360/391], lr: 0.00200	Time 0.034 (0.038)	Data 0.001 (0.002)	Loss 3.9752 (4.6572)	Prec@1 14.062 (6.582)	Prec@5 36.328 (19.130)
Epoch: [0][370/391], lr: 0.00200	Time 0.030 (0.038)	Data 0.000 (0.002)	Loss 4.0216 (4.6429)	Prec@1 11.719 (6.725)	Prec@5 33.203 (19.463)
Epoch: [0][380/391], lr: 0.00200	Time 0.030 (0.038)	Data 0.000 (0.002)	Loss 4.0405 (4.6283)	Prec@1 12.500 (6.883)	Prec@5 33.594 (19.821)
Epoch: [0][390/391], lr: 0.00200	Time 0.500 (0.039)	Data 0.000 (0.002)	Loss 4.2804 (4.6145)	Prec@1 13.750 (7.041)	Prec@5 32.500 (20.133)
val Results: Prec@1 9.530 Prec@5 26.830 Loss 4.40098
Best Prec@1: 9.530

Epoch: [1][0/391], lr: 0.00400	Time 0.562 (0.562)	Data 0.526 (0.526)	Loss 3.9934 (3.9934)	Prec@1 16.016 (16.016)	Prec@5 36.328 (36.328)
Epoch: [1][10/391], lr: 0.00400	Time 0.034 (0.081)	Data 0.000 (0.048)	Loss 4.1498 (4.0667)	Prec@1 12.500 (13.494)	Prec@5 31.250 (33.132)
Epoch: [1][20/391], lr: 0.00400	Time 0.039 (0.058)	Data 0.001 (0.026)	Loss 4.1586 (4.1244)	Prec@1 10.547 (12.630)	Prec@5 32.031 (32.068)
Epoch: [1][30/391], lr: 0.00400	Time 0.031 (0.050)	Data 0.000 (0.018)	Loss 4.0161 (4.1451)	Prec@1 14.453 (12.198)	Prec@5 37.891 (31.641)
Epoch: [1][40/391], lr: 0.00400	Time 0.031 (0.045)	Data 0.000 (0.013)	Loss 4.0071 (4.1522)	Prec@1 15.234 (12.186)	Prec@5 32.422 (31.345)
Epoch: [1][50/391], lr: 0.00400	Time 0.032 (0.043)	Data 0.000 (0.011)	Loss 4.0294 (4.1307)	Prec@1 10.938 (12.431)	Prec@5 32.812 (31.840)
